sdk_pr	state	base_ref	base_sha	head_ref	head_sha	qdev_pr	qdev_state	qdev_head_sha	disposition
https://github.com/stainless-sdks/qaip-python/pull/207	CLOSED	integrated/preview/base/claude/github-issue-6332-a2856e--merge-conflict	e3d293f73b9edac0bdb4be4cb8c0395b70225481	codegen/preview/base/claude/github-issue-6332-a2856e--merge-conflict	449e27fcd204b259d729fd16a8a0a32a9eb17ae2	7465	OPEN	d935fff84f527f5dd63b0e9b07c74387ad27f93d	close済み。後続の同じpreview PRを確認する
https://github.com/stainless-sdks/qaip-python/pull/208	CLOSED	integrated/preview/claude/github-issue-6332-a2856e--merge-conflict	7e300611c72066b565c1895cb66bacbe8f1033d3	codegen/preview/claude/github-issue-6332-a2856e--merge-conflict	58cee5096b0014792050cc2b782950715f35b27f	7465	OPEN	d935fff84f527f5dd63b0e9b07c74387ad27f93d	close済み。後続の同じpreview PRを確認する
https://github.com/stainless-sdks/qaip-python/pull/216	CLOSED	integrated--merge-conflict	0c9e8162ddf8678959ebeefac9c099878962fb25	generated--merge-conflict	91ee0ff2c8faf2abd5a6aa5067d0353b29313639	parent	N/A	N/A	#237統合後にmerged/closedを確認。生成元91ee0ff2の親競合は解消済み。nextの撤去差分を保持
https://github.com/stainless-sdks/qaip-python/pull/237	CLOSED	integrated--merge-conflict	0c9e8162ddf8678959ebeefac9c099878962fb25	sdk-pr216-resolution	72e5617caff991cc4fd6b2a0bd4b30acb5eeb4f5	parent	N/A	N/A	f51412e6でmerge済み。treeはnext ec873577と一致。生成headと比較先の祖先関係を保持。push CI 34450460365成功
https://github.com/stainless-sdks/qaip-python/pull/244	OPEN	integrated/preview/base/claude/github-issue-7415-4t2rh8--merge-conflict	f1a5799932c93344a6fb44e1f10b0c6fe5cda6ba	codegen/preview/base/claude/github-issue-7415-4t2rh8--merge-conflict	b7992a50658e7f53cc7abc7789e1affa3b0c87de	7470	OPEN	079bf4226340535cc8aa5996bc485ce977bf9733	qdevを最新の親へ追従しhead/baseを再生成。残る競合を解消（未実施）
https://github.com/stainless-sdks/qaip-python/pull/245	OPEN	integrated/preview/claude/github-issue-7415-4t2rh8--merge-conflict	002c6eb310e4537dc80bb864bb13b0b2072d8cb3	codegen/preview/claude/github-issue-7415-4t2rh8--merge-conflict	6984ea2fee80d5ca71a5aeed500b41cc7884cb98	7470	OPEN	079bf4226340535cc8aa5996bc485ce977bf9733	qdevを最新の親へ追従しhead/baseを再生成。残る競合を解消（未実施）
https://github.com/stainless-sdks/qaip-python/pull/255	OPEN	integrated/preview/base/claude/github-issue-7643-pqphdm--merge-conflict	99b32cfa094d66d6fa13cca1938b16b811080e2d	codegen/preview/base/claude/github-issue-7643-pqphdm--merge-conflict	00112bf3c50485dcf67acd069904f52ce3c83f1d	7731	MERGED	105870fce1df956b5916d492b35015b999137f66	親の最新生成取り込み後に、継続不要のpreviewとしてclose（未実施）
https://github.com/stainless-sdks/qaip-python/pull/256	CLOSED	integrated/preview/claude/github-issue-7643-pqphdm--merge-conflict	21e45f60e2195695a9d3fbda5c13b2da1ee0640d	codegen/preview/claude/github-issue-7643-pqphdm--merge-conflict	16b31227c402e27eb79a639ce8b3ed866b98622c	7731	MERGED	105870fce1df956b5916d492b35015b999137f66	close済み。後続の同じpreview PRを確認する
https://github.com/stainless-sdks/qaip-python/pull/257	CLOSED	integrated/preview/base/feat/bulk-delete-source-groups-7450--merge-conflict	5fbb19037155dcd06326ce3c2643dfb0824266f2	codegen/preview/base/feat/bulk-delete-source-groups-7450--merge-conflict	f43dcc5440284960531c6c25605b9ded57045b19	7458	OPEN	bd6191ba9d84f31f29f3be6be53f4f00ccf695dd	close済み。後続の同じpreview PRを確認する
https://github.com/stainless-sdks/qaip-python/pull/258	CLOSED	integrated/preview/feat/bulk-delete-source-groups-7450--merge-conflict	305bd43b3f9b1b7ff1b6af0477c7d25f74263abb	codegen/preview/feat/bulk-delete-source-groups-7450--merge-conflict	895dc32a4b167c2a836951a7aeec0487f1cb079f	7458	OPEN	bd6191ba9d84f31f29f3be6be53f4f00ccf695dd	close済み。後続の同じpreview PRを確認する
https://github.com/stainless-sdks/qaip-python/pull/262	CLOSED	integrated/preview/base/feat/bulk-delete-source-groups-7450--merge-conflict	86c6bce17235358bff6ed0294ffc3166eb200447	codegen/preview/base/feat/bulk-delete-source-groups-7450--merge-conflict	3a1dbd92ea4bd01ce9f238ff162b97414f9bd164	7458	OPEN	bd6191ba9d84f31f29f3be6be53f4f00ccf695dd	close済み。後続の同じpreview PRを確認する
https://github.com/stainless-sdks/qaip-python/pull/263	CLOSED	integrated/preview/feat/bulk-delete-source-groups-7450--merge-conflict	3ad25e810a69ab2a8655d6ea612b9fb673264d74	codegen/preview/feat/bulk-delete-source-groups-7450--merge-conflict	85fecda59373ac320ab983ea8ed231a81914e01c	7458	OPEN	bd6191ba9d84f31f29f3be6be53f4f00ccf695dd	close済み。後続の同じpreview PRを確認する
https://github.com/stainless-sdks/qaip-python/pull/269	CLOSED	integrated/preview/base/claude/github-issue-6332-a2856e--merge-conflict	7f613ec44ed343b31a349b5b1a88e2d7c0683739	codegen/preview/base/claude/github-issue-6332-a2856e--merge-conflict	2379d75ca971f62dc8aeb85b167fb9f42dc781df	7465	OPEN	d935fff84f527f5dd63b0e9b07c74387ad27f93d	close済み。後続の同じpreview PRを確認する
https://github.com/stainless-sdks/qaip-python/pull/271	CLOSED	integrated/preview/claude/github-issue-6332-a2856e--merge-conflict	2cf0d5ee0d36943ca3c0a9cd3c79d1b1ea76f7d5	codegen/preview/claude/github-issue-6332-a2856e--merge-conflict	e2aa24d5d40777a8de2545354cf9cb3fff468298	7465	OPEN	d935fff84f527f5dd63b0e9b07c74387ad27f93d	close済み。後続の同じpreview PRを確認する
https://github.com/stainless-sdks/qaip-python/pull/272	CLOSED	integrated/preview/base/feat/bulk-delete-source-groups-7450--merge-conflict	e2c1eb05029dbdbf9ecd6eeb82666f4fd36860b6	codegen/preview/base/feat/bulk-delete-source-groups-7450--merge-conflict	24f61ec9a4a60b765324c692d718e3d1edf7147d	7458	OPEN	bd6191ba9d84f31f29f3be6be53f4f00ccf695dd	close済み。後続の同じpreview PRを確認する
https://github.com/stainless-sdks/qaip-python/pull/273	CLOSED	integrated/preview/feat/bulk-delete-source-groups-7450--merge-conflict	90e312be3c2fea4a65ba0c07732802f2bd90bfe6	codegen/preview/feat/bulk-delete-source-groups-7450--merge-conflict	e6b35a34c9285d60ab0e9ba122431214094ba979	7458	OPEN	bd6191ba9d84f31f29f3be6be53f4f00ccf695dd	close済み。後続の同じpreview PRを確認する
