path	delta	owner	reason	migration	verification
.claude/skills/qaip-cli/SKILL.md	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
.claude/skills/qaip-cli/evals/evals.json	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
.claude/skills/qaip-cli/references/recipes.md	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
.stats.yml	M	Stainless	generatedがnextに未統合のinclude_retrieved等	親の生成更新を統合（独自削除と誤認しない）	入力SHA・生成SHA・統合差分
CHANGELOG.md	A	release	公開履歴	release処理が管理	公開tagとrelease PR照合
api.md	M	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
pyproject.toml	M	混在・未解決	CLI entry point・URL・ruff設定	生成による再現方法の実証が必要	隔離wheelのqaip起動・lint
src/qaip/__main__.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/_base_client.py	M	Stainless	multipart repeat・API key409の再試行/本文保持	multipart設定は生成確認済み、409はupstream/拡張を検証	custom multipart・phase5契約
src/qaip/_client.py	M	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/_models.py	M	Stainless	multipart repeat・API key409の再試行/本文保持	multipart設定は生成確認済み、409はupstream/拡張を検証	custom multipart・phase5契約
src/qaip/_streaming.py	M	Stainless	空フレームと文字列SSE	upstream/独立streamの接続を実証（未完了）	tests/custom/test_sse_compat.py
src/qaip/_types.py	M	Stainless	multipart repeat・API key409の再試行/本文保持	multipart設定は生成確認済み、409はupstream/拡張を検証	custom multipart・phase5契約
src/qaip/cli/__init__.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/__init__.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/_common.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/_main.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/agent.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/api_keys.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/completion.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/content.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/conversations.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/crawls.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/extract.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/githubs.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/google_drives.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/keywords.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/local_file_groups.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/notions.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/query.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/search.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/secrets.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/source_groups.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/sources.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/tag_source_groups.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/tags.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_api/user_keyword_snapshots.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_cli.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_errors.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_schema.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/cli/_utils.py	A	手書き	CLIと利用手順	独立ファイルとして保持	tests/custom/test_cli.py・隔離wheel
src/qaip/resources/__init__.py	M	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/resources/agent.py	M	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/resources/api_keys.py	M	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/resources/conversations.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/resources/external_queries.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/resources/keywords.py	A	手書き（custom resource移行候補）	既存SDKの独自resource	custom:trueでclient登録を生成、実装は保持	公開属性と全method/wrapperのHTTPモック
src/qaip/resources/local_file_groups.py	M	Stainless	multipart repeat・API key409の再試行/本文保持	multipart設定は生成確認済み、409はupstream/拡張を検証	custom multipart・phase5契約
src/qaip/resources/tag_management.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/resources/user_keyword_snapshots.py	A	手書き（custom resource移行候補）	既存SDKの独自resource	custom:trueでclient登録を生成、実装は保持	公開属性と全method/wrapperのHTTPモック
src/qaip/types/__init__.py	M	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/agent_list_threads_params.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/agent_retrieve_thread_params.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/agent_run_node.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/agent_thread.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/agent_thread_detail.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/agent_thread_list_response.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/api_key_create_params.py	M	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/client_completion_params.py	M	Stainless	generatedがnextに未統合のinclude_retrieved等	親の生成更新を統合（独自削除と誤認しない）	入力SHA・生成SHA・統合差分
src/qaip/types/completion_response.py	M	Stainless	generatedがnextに未統合のinclude_retrieved等	親の生成更新を統合（独自削除と誤認しない）	入力SHA・生成SHA・統合差分
src/qaip/types/conversation.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/conversation_detail.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/conversation_list_params.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/conversation_list_response.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/conversation_message.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/conversation_retrieve_params.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/conversation_scope_params.py	A	Stainless	手書き実装で共有した公開parameter型	既存importを維持する生成定義を検証	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/conversation_tree_node.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
src/qaip/types/conversation_update_params.py	A	Stainless	既存SDKの手書き追加	qdev設定と同等の生成物へ置換	公開import・HTTP契約・同期/非同期wrapper
